      1 Choeropsis
      1 Chrotogale
      1 Chrotopterus
      1 Chrysocyon
      1 Civettictis
      1 Cloeotis
      1 Colomys
      1 Condylura
      1 Conilurus
      1 Cormura
      1 Craseonycteris
      1 Cricetomys
      1 Cricetus
      1 Crocuta
      1 Crossomys
      1 Cryptoprocta
      1 Cuon
      1 Cuscomys
      1 Cyclopes
      1 Cynictis
      1 Cynocephalus
      1 Cynogale
      1 Cystophora
      1 Cyttarops
      1 Dacnomys
      1 Dactylonax
      1 Dasykaluta
      1 Dasyuroides
      1 Daubentonia
      1 Delanymys
      1 Delphinapterus
      1 Deltamys
      1 Dendroprionomys
      1 Deomys
      1 Dephomys
      1 Desmana
      1 Desmodilliscus
      1 Desmodillus
      1 Desmodus
      1 Diaemus
      1 Dicerorhinus
      1 Diceros
      1 Dinaromys
      1 Dinomys
      1 Diomys
      1 Diphylla
      1 Diplogale
      1 Diplomesodon
      1 Diplothrix
      1 Dipus
      1 Distoechurus
      1 Dologale
      1 Dorcatragus
      1 Dromiciops
      1 Dugong
      1 Dymecodon
      1 Echinoprocta
      1 Echinops
      1 Echinosorex
      1 Ectophylla
      1 Eira
      1 Elaphodus
      1 Elaphurus
      1 Elephas
      1 Enchisthenes
      1 Enhydra
      1 Eoglaucomys
      1 Eozapus
      1 Epixerus
      1 Eremitalpa
      1 Eremodipus
      1 Eremoryzomys
      1 Erethizon
      1 Erignathus
      1 Eropeplus
      1 Erythrocebus
      1 Eschrichtius
      1 Euchoreutes
      1 Euderma
      1 Eudiscopus
      1 Eumetopias
      1 Eupetaurus
      1 Euphractus
      1 Eupleres
      1 Euryzygomatomys
      1 Felovia
      1 Feresa
      1 Feroculus
      1 Fossa
      1 Furipterus
      1 Galemys
      1 Galenomys
      1 Galeopterus
      1 Galidia
      1 Geogale
      1 Georychus
      1 Geoxus
      1 Giraffa
      1 Glironia
      1 Glirulus
      1 Glis
      1 Glyphotes
      1 Golunda
      1 Grampus
      1 Gulo
      1 Gymnobelideus
      1 Gymnuromys
      1 Halichoerus
      1 Haplonycteris
      1 Heimyscus
      1 Helarctos
      1 Heliophobius
      1 Hemibelideus
      1 Hemigalus
      1 Hemitragus
      1 Heterocephalus
      1 Heterohyrax
      1 Hippopotamus
      1 Histriophoca
      1 Hodomys
      1 Hoolock
      1 Hoplomys
      1 Hydropotes
      1 Hydrurga
      1 Hyemoschus
      1 Hyladelphys
      1 Hylochoerus
      1 Hylonycteris
      1 Hypogeomys
      1 Hypsignathus
      1 Hypsiprymnodon
      1 Ia
      1 Ichneumia
      1 Idionycteris
      1 Indopacetus
      1 Indri
      1 Inia
      1 Irenomys
      1 Kadarsanomys
      1 Kannabateomys
      1 Komodomys
      1 Lagenodelphis
      1 Lagostomus
      1 Lagostrophus
